tool_name,category,release_year,pricing,open_source,github_stars,company,monthly_users,tags
ChatGPT,LLM,2022,Freemium,No,180000,OpenAI,180000000,"chatbot,text,assistant"
Midjourney,Image Generation,2022,Paid,No,0,Independent,20000000,"image,design,art"
Claude,LLM,2023,Freemium,No,0,Anthropic,15000000,"chatbot,text,assistant"
Gemini,LLM,2024,Freemium,No,0,Google,120000000,"chatbot,text,search"
Stable Diffusion,Image Generation,2022,Free,Yes,150000,Stability AI,10000000,"image,generation,design"
Runway,Video AI,2023,Freemium,No,5000,Runway,8000000,"video,editing,ai"
Perplexity,Research AI,2022,Freemium,No,12000,Perplexity,25000000,"search,research,assistant"
GitHub Copilot,Coding Assistant,2021,Paid,No,0,Microsoft,30000000,"coding,developer,assistant"
HuggingFace,Research AI,2020,Freemium,Yes,95000,HuggingFace,5000000,"ml,research,nlp"
ElevenLabs,Speech AI,2023,Freemium,No,8000,ElevenLabs,6000000,"voice,audio,speech"
AITool_1,Video AI,2023,Freemium,Yes,85182,OpenAI,47642055,"video,chatbot,research"
AITool_2,LLM,2021,Enterprise,Yes,52231,Google,14430890,"developer,design,chatbot"
AITool_3,LLM,2020,Paid,No,149865,Microsoft,2193551,"text,voice,automation"
AITool_4,Speech AI,2026,Freemium,No,146351,Independent,17734804,"automation,design,voice"
AITool_5,Video AI,2021,Free,No,31101,Google,16176140,"marketing,assistant,text"
AITool_6,Speech AI,2026,Freemium,No,108780,Google,6322060,"automation,video,chatbot"
AITool_7,Productivity AI,2022,Paid,Yes,130959,Anthropic,23016781,"video,assistant,productivity"
AITool_8,Marketing AI,2026,Enterprise,Yes,144551,Meta,21262538,"text,image,automation"
AITool_9,Productivity AI,2022,Paid,Yes,97205,Google,47833106,"video,design,voice"
AITool_10,Video AI,2023,Freemium,No,75943,Google,4599932,"automation,marketing,productivity"
AITool_11,Research AI,2023,Paid,Yes,73385,Startup,44989024,"voice,text,productivity"
AITool_12,Productivity AI,2020,Free,No,192751,OpenAI,3784370,"design,assistant,research"
AITool_13,Productivity AI,2026,Enterprise,No,72935,OpenAI,42004499,"text,assistant,voice"
AITool_14,Coding Assistant,2026,Enterprise,No,97717,Adobe,17445019,"assistant,automation,research"
AITool_15,LLM,2025,Enterprise,No,121107,Startup,19567361,"video,image,text"
AITool_16,Marketing AI,2023,Paid,No,44015,AWS,17057151,"chatbot,video,assistant"
AITool_17,LLM,2023,Freemium,Yes,19184,Meta,9115741,"assistant,marketing,text"
AITool_18,Coding Assistant,2026,Freemium,Yes,171339,Google,22325335,"chatbot,voice,research"
AITool_19,Research AI,2026,Free,No,77303,Google,39927928,"chatbot,developer,productivity"
AITool_20,Image Generation,2024,Free,Yes,179534,AWS,37533633,"automation,video,voice"
AITool_21,Design AI,2023,Free,No,4835,AWS,17297300,"text,voice,design"
AITool_22,Productivity AI,2026,Freemium,No,160477,Google,35165103,"image,video,automation"
AITool_23,Music AI,2024,Free,No,143765,Startup,8486715,"image,developer,design"
AITool_24,Coding Assistant,2024,Free,Yes,140182,Independent,46119447,"chatbot,image,automation"
AITool_25,LLM,2026,Enterprise,No,159122,Startup,19672289,"text,research,chatbot"
AITool_26,Productivity AI,2025,Freemium,Yes,170490,OpenAI,40389651,"automation,marketing,chatbot"
AITool_27,Coding Assistant,2020,Free,Yes,86788,Adobe,44951513,"marketing,developer,image"
AITool_28,Research AI,2021,Freemium,No,99181,Microsoft,10344923,"video,developer,text"
AITool_29,Image Generation,2021,Freemium,Yes,170854,Independent,1939141,"research,image,video"
AITool_30,Coding Assistant,2024,Freemium,Yes,169006,Independent,42802623,"text,marketing,developer"
AITool_31,Marketing AI,2024,Enterprise,Yes,52917,Startup,12787287,"chatbot,assistant,automation"
AITool_32,Research AI,2022,Paid,No,166224,Meta,30263447,"automation,developer,marketing"
AITool_33,Coding Assistant,2023,Freemium,No,33319,Independent,24262537,"automation,text,assistant"
AITool_34,Research AI,2024,Free,No,8108,Meta,41234450,"text,assistant,design"
AITool_35,Design AI,2026,Freemium,Yes,137939,AWS,8399045,"automation,assistant,developer"
AITool_36,Coding Assistant,2025,Paid,No,26537,Anthropic,12842036,"developer,research,automation"
AITool_37,Video AI,2026,Enterprise,No,160427,Google,2991839,"automation,design,marketing"
AITool_38,Video AI,2024,Paid,No,188494,Anthropic,19835808,"developer,automation,chatbot"
AITool_39,Video AI,2022,Freemium,Yes,3711,Microsoft,49027825,"chatbot,image,assistant"
AITool_40,Design AI,2021,Freemium,No,109768,Independent,26749086,"marketing,voice,video"
AITool_41,Design AI,2024,Paid,Yes,115032,Meta,34004378,"automation,video,productivity"
AITool_42,Speech AI,2025,Freemium,No,10762,Startup,9715579,"productivity,image,chatbot"
AITool_43,Marketing AI,2024,Enterprise,No,184605,Google,19800468,"research,text,design"
AITool_44,Design AI,2022,Freemium,No,189049,Independent,23452920,"marketing,automation,developer"
AITool_45,Speech AI,2024,Paid,No,57892,Google,40454971,"automation,developer,productivity"
AITool_46,LLM,2020,Freemium,No,21411,OpenAI,32564012,"design,productivity,video"
AITool_47,Speech AI,2020,Enterprise,No,23200,Anthropic,34672184,"text,productivity,video"
AITool_48,Design AI,2026,Enterprise,No,19802,OpenAI,18885244,"video,text,research"
AITool_49,Marketing AI,2023,Paid,Yes,85336,Meta,1513396,"developer,text,research"
AITool_50,Productivity AI,2020,Free,Yes,90410,Google,36598603,"video,design,text"
AITool_51,Coding Assistant,2022,Free,Yes,150337,AWS,14109402,"automation,text,assistant"
AITool_52,Speech AI,2021,Free,No,37329,Meta,32237240,"text,automation,research"
AITool_53,Video AI,2026,Free,Yes,88011,Microsoft,22176858,"research,text,productivity"
AITool_54,Image Generation,2024,Free,No,176065,Microsoft,28426865,"productivity,assistant,research"
AITool_55,Music AI,2021,Paid,Yes,135261,AWS,13803842,"research,video,productivity"
AITool_56,Image Generation,2025,Free,Yes,55085,Meta,29865662,"research,design,automation"
AITool_57,Coding Assistant,2022,Paid,Yes,7268,Adobe,44703556,"design,automation,productivity"
AITool_58,Speech AI,2021,Freemium,No,128613,AWS,33533630,"automation,chatbot,assistant"
AITool_59,Design AI,2021,Freemium,No,19617,Google,8127636,"text,chatbot,automation"
AITool_60,Productivity AI,2026,Enterprise,No,107458,Startup,39826245,"voice,image,developer"
AITool_61,Research AI,2025,Enterprise,No,91772,AWS,36323801,"marketing,voice,research"
AITool_62,Productivity AI,2023,Free,Yes,20639,Independent,49809965,"research,voice,assistant"
AITool_63,Speech AI,2021,Free,No,81485,Microsoft,24518427,"design,chatbot,text"
AITool_64,Video AI,2026,Paid,Yes,103439,Google,9226886,"voice,productivity,research"
AITool_65,Design AI,2026,Freemium,No,77256,Google,31682232,"video,research,developer"
AITool_66,Productivity AI,2024,Freemium,Yes,185864,Startup,17374436,"research,productivity,design"
AITool_67,Music AI,2020,Enterprise,Yes,126558,AWS,18711606,"marketing,research,chatbot"
AITool_68,Marketing AI,2026,Free,Yes,16061,Google,1985557,"automation,research,developer"
AITool_69,Marketing AI,2021,Paid,No,182746,Google,31777417,"developer,research,image"
AITool_70,Coding Assistant,2024,Paid,No,43299,Startup,14372501,"developer,design,assistant"
AITool_71,Image Generation,2026,Free,Yes,3857,Independent,42000147,"image,research,productivity"
AITool_72,LLM,2024,Enterprise,Yes,70385,Google,39982813,"image,video,developer"
AITool_73,Productivity AI,2020,Free,No,134097,Adobe,19865646,"productivity,chatbot,image"
AITool_74,LLM,2022,Paid,No,100415,Startup,7614464,"productivity,voice,automation"
AITool_75,Coding Assistant,2026,Freemium,No,92560,AWS,25264475,"marketing,developer,automation"
AITool_76,Coding Assistant,2023,Paid,Yes,9523,OpenAI,1231788,"marketing,voice,text"
AITool_77,Speech AI,2025,Enterprise,No,92018,AWS,14603531,"text,automation,research"
AITool_78,Music AI,2023,Paid,No,9226,Independent,45325272,"chatbot,research,marketing"
AITool_79,Speech AI,2024,Free,Yes,197832,Anthropic,23802120,"video,design,productivity"
AITool_80,Design AI,2025,Free,No,91917,Startup,8958184,"marketing,assistant,image"
AITool_81,Coding Assistant,2020,Enterprise,No,63413,OpenAI,6188865,"assistant,research,text"
AITool_82,Research AI,2023,Free,No,35748,Adobe,40833424,"research,text,voice"
AITool_83,LLM,2021,Free,Yes,165546,Startup,41508021,"developer,chatbot,text"
AITool_84,LLM,2023,Freemium,No,148902,Startup,30843037,"text,design,developer"
AITool_85,LLM,2024,Free,No,56869,Startup,7519260,"voice,productivity,developer"
AITool_86,Video AI,2025,Free,No,141579,Anthropic,36630003,"chatbot,developer,design"
AITool_87,LLM,2026,Paid,Yes,2502,Microsoft,48573661,"research,developer,automation"
AITool_88,Speech AI,2022,Enterprise,Yes,13572,Microsoft,18463589,"design,chatbot,text"
AITool_89,Research AI,2022,Freemium,Yes,19690,Anthropic,2378215,"productivity,design,developer"
AITool_90,Image Generation,2023,Free,Yes,40201,AWS,143927,"image,developer,text"
AITool_91,Coding Assistant,2025,Freemium,Yes,72690,Adobe,34827114,"video,developer,assistant"
AITool_92,Video AI,2021,Freemium,No,133761,Google,8563755,"image,voice,research"
AITool_93,Image Generation,2021,Freemium,Yes,108960,Adobe,3932334,"developer,video,design"
AITool_94,Music AI,2021,Enterprise,No,76175,OpenAI,49191206,"developer,marketing,design"
AITool_95,Design AI,2024,Paid,Yes,43099,Google,18911272,"productivity,assistant,marketing"
AITool_96,Image Generation,2024,Free,Yes,72660,Startup,17913518,"design,chatbot,automation"
AITool_97,Design AI,2025,Freemium,No,131858,OpenAI,44241512,"voice,video,design"
AITool_98,Music AI,2021,Freemium,No,13644,Microsoft,46247810,"marketing,video,automation"
AITool_99,Marketing AI,2022,Free,Yes,177355,Adobe,18825470,"developer,image,marketing"
AITool_100,Video AI,2023,Free,Yes,148128,Independent,31994380,"research,video,marketing"
AITool_101,Research AI,2021,Free,Yes,198296,Google,19267244,"video,voice,marketing"
AITool_102,Research AI,2026,Freemium,No,107265,Independent,3800710,"productivity,image,text"
AITool_103,Productivity AI,2026,Freemium,No,115586,Microsoft,12120396,"automation,research,developer"
AITool_104,Marketing AI,2021,Enterprise,No,44342,Google,9882228,"design,image,text"
AITool_105,Video AI,2025,Freemium,Yes,42770,Anthropic,10662044,"video,image,marketing"
AITool_106,Marketing AI,2021,Free,Yes,183658,OpenAI,44262504,"video,voice,assistant"
AITool_107,Coding Assistant,2025,Paid,No,135854,Startup,13391818,"automation,video,productivity"
AITool_108,Video AI,2022,Enterprise,No,40813,Independent,4750934,"design,research,chatbot"
